Filename,Result,Wall_Time
2024/hku/refinement_checking/bv/ILA_Ridecore_SW_problem.btor2,memout,0
2024/hku/refinement_checking/bv/ILA_Flute_SUB_sanity.btor2,memout,0
2024/hku/refinement_checking/bv/ILA_Flute_SLTI_sanity.btor2,memout,0
2024/hku/refinement_checking/bv/ILA_Piccolo_LHU_sanity.btor2,memout,0
2024/hku/refinement_checking/bv/ILA_Flute_SB_sanity.btor2,memout,0
2024/hku/refinement_checking/bv/ILA_Piccolo_BLTU_problem.btor2,unknown,0
2024/hku/refinement_checking/bv/ILA_Flute_SW_problem.btor2,unknown,0
2024/hku/arithmetic_circuits/93.c/93.c.btor2,unknown,0
2024/hku/arithmetic_circuits/fib_37/fib_37.btor2,unknown,0
2024/hku/arithmetic_circuits/fib_30/fib_30.btor2,unknown,0
2024/hku/bv/safe/processed_vector_add_cmp_split_8.btor2,memout,0
2024/hku/x-epic/a16-p126.btor2,unsat,0.897954
2024/hku/x-epic/a16-p041.btor2,unsat,5.94829
2024/hku/x-epic/a16-p146.btor2,sat,1.92741
2024/hku/branch_coverage/bv/rocket_2045.btor2,memout,0
2024/hku/x-epic/a16-p085.btor2,unsat,0.886561
2024/hku/x-epic/a16-p098.btor2,unsat,10.1075
2024/hku/bv/safe/processed_hl_arr_access_128_bv.btor2,unknown,0
2024/hku/branch_coverage/bv/rocket_1761.btor2,memout,0
2024/hku/x-epic/a10-p04.btor2,sat,4.19284
2024/hku/branch_coverage/bv/rocket_5541.btor2,memout,0
2024/hku/x-epic/a16-p152.btor2,unsat,0.787646
2024/hku/branch_coverage/bv/rocket_1951.btor2,memout,0
2024/hku/x-epic/a16-p074.btor2,unsat,1.86519
2024/hku/branch_coverage/bv/rocket_1961.btor2,memout,0
2024/hku/x-epic/a10-p06.btor2,sat,66.0469
2024/hku/x-epic/a16-p057.btor2,memout,0
2024/hku/x-epic/a10-p35.btor2,unsat,3.54061
2024/hku/branch_coverage/bv/rocket_2067.btor2,unknown,0
2024/hku/x-epic/a16-p102.btor2,unknown,0
2024/hku/x-epic/a10-p23.btor2,unsat,3.30591
2024/hku/x-epic/a10-p41.btor2,unsat,25.6003
2024/hku/x-epic/a19-p16.btor2,memout,0
2024/hku/x-epic/a19-p15.btor2,unsat,0.235749
2024/hku/x-epic/a07-p14.btor2,unknown,0
2024/hku/x-epic/a16-p113.btor2,unsat,0.246121
2024/hku/x-epic/a10-p30.btor2,sat,50.5594
2024/hku/x-epic/a16-p160.btor2,memout,0
2024/hku/x-epic/a16-p139.btor2,unsat,11.8396
2024/hku/x-epic/a05.btor2,unknown,0
2024/hku/x-epic/a03.btor2,unknown,0
2024/hku/x-epic/a10-p53.btor2,unsat,14.1631
2024/hku/x-epic/a13.btor2,unknown,0
2024/hku/x-epic/a16-p128.btor2,unknown,0
2024/hku/x-epic/a11.btor2,unknown,0
2024/hku/x-epic/a16-p012.btor2,unknown,0
2024/hku/x-epic/a16-p148.btor2,unknown,0
2024/sosylab/unsignedintegeroverflow-sas23/cancel_var_through_overflow.btor2,unsat,4.24288
2024/hku/x-epic/a16-p018.btor2,unknown,0
2024/sosylab/openssl-simplified/s3_srvr_1b.cil.btor2,unsat,2.96349
2024/sosylab/systemc/transmitter.10.cil.btor2,unknown,0
2024/sosylab/floats-cbmc-regression/float8.btor2,unsat,0.835495
2024/hku/x-epic/xepic_a17-p02.btor2,unknown,0
