index,benchmark,outer_selects,outer_updates,fallback_selects,fallback_updates,fallback_arms,fallback_limits,reward_sum,nonzero_reward_updates,mab_lines
18,benchmarks/wordlevel/array/2019/wolf/2019C/dblclockfft_butterfly_ck3_r1-p44.btor2,0,0,4,3,0;1;2;0,32;16;8;32,0.30000000000000004,1,IC3IA-FALLBACK-BANDIT select round=0 arm=0 limit=32 candidates=79 | IC3IA-FALLBACK-BANDIT update round=1 arm=0 reward=0.30000000000000004 push=8/20 frontier=6 frames=2 result=-1 | IC3IA-FALLBACK-BANDIT select round=1 arm=1 limit=16 candidates=46 | IC3IA-FALLBACK-BANDIT update round=2 arm=1 reward=0.0 push=0/0 frontier=0 frames=0 result=-1 | IC3IA-FALLBACK-BANDIT select round=2 arm=2 limit=8 candidates=30 | IC3IA-FALLBACK-BANDIT update round=3 arm=2 reward=0.0 push=0/0 frontier=0 frames=0 result=-1 | IC3IA-FALLBACK-BANDIT select round=3 arm=0 limit=32 candidates=22
19,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p105.btor2,0,0,0,0,,,0,0,
20,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p106.btor2,0,0,0,0,,,0,0,
21,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p181.btor2,0,0,0,0,,,0,0,
22,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p208.btor2,0,0,0,0,,,0,0,
23,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p231.btor2,0,0,0,0,,,0,0,
24,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p238.btor2,0,0,0,0,,,0,0,
25,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p250.btor2,0,0,0,0,,,0,0,
26,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p260.btor2,0,0,0,0,,,0,0,
27,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p274.btor2,0,0,0,0,,,0,0,
28,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p277.btor2,0,0,0,0,,,0,0,
29,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p295.btor2,0,0,0,0,,,0,0,
30,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p317.btor2,0,0,0,0,,,0,0,
31,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p322.btor2,0,0,0,0,,,0,0,
32,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p343.btor2,0,0,0,0,,,0,0,
33,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p346.btor2,0,0,0,0,,,0,0,
34,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p359.btor2,0,0,0,0,,,0,0,
35,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p371.btor2,0,0,0,0,,,0,0,
36,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p428.btor2,0,0,0,0,,,0,0,
37,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p459.btor2,0,0,0,0,,,0,0,
38,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p462.btor2,0,0,0,0,,,0,0,
39,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p478.btor2,0,0,0,0,,,0,0,
40,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p532.btor2,0,0,0,0,,,0,0,
41,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p554.btor2,0,0,0,0,,,0,0,
42,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p558.btor2,0,0,0,0,,,0,0,
43,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p563.btor2,0,0,0,0,,,0,0,
44,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p570.btor2,0,0,0,0,,,0,0,
45,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p581.btor2,0,0,0,0,,,0,0,
46,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p591.btor2,0,0,0,0,,,0,0,
47,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p133.btor2,0,0,0,0,,,0,0,
48,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p160.btor2,0,0,0,0,,,0,0,
49,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p195.btor2,0,0,0,0,,,0,0,
50,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p240.btor2,0,0,0,0,,,0,0,
51,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p241.btor2,0,0,0,0,,,0,0,
52,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p284.btor2,0,0,0,0,,,0,0,
53,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p310.btor2,0,0,0,0,,,0,0,
54,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p311.btor2,0,0,0,0,,,0,0,
55,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p358.btor2,0,0,0,0,,,0,0,
56,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p366.btor2,0,0,0,0,,,0,0,
57,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p395.btor2,0,0,0,0,,,0,0,
