index,benchmark,baseline_result,baseline_solved,baseline_timed_out,baseline_wall_seconds,baseline_par2,old_final_result,old_final_solved,old_final_timed_out,old_final_wall_seconds,old_final_par2,new_mab_result,new_mab_solved,new_mab_timed_out,new_mab_wall_seconds,new_mab_par2,new_vs_baseline_par2_delta,new_vs_old_final_par2_delta,visible_packet_selections,visible_packet_updates,visible_censored
10,benchmarks/wordlevel/array/2019/wolf/2018A/zipcpu-zipmmu-p40.btor2,missing,False,True,1000.1417597625405,2000.0,missing,False,True,1000.1546458406374,2000.0,missing,False,True,1000.0349938450381,2000.0,0.0,0.0,lean_core;cex_diverse;recovery,lean_core;cex_diverse,0
11,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutAX_mem-p0.btor2,missing,False,True,1000.1752914786339,2000.0,missing,False,True,1000.161499091424,2000.0,missing,False,True,1000.2103083180264,2000.0,0.0,0.0,,,0
12,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutAX_mem-p7.btor2,missing,False,True,1000.239763174206,2000.0,missing,False,True,1000.1633048420772,2000.0,missing,False,True,1000.2059828154743,2000.0,0.0,0.0,,,0
13,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutBX_mem-p1.btor2,missing,False,True,1000.2058058036491,2000.0,missing,False,True,1000.1598095539957,2000.0,missing,False,True,1000.2132481662557,2000.0,0.0,0.0,,,0
14,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutBX_mem-p5.btor2,missing,False,True,1000.1911597941071,2000.0,missing,False,True,1000.1546097313985,2000.0,missing,False,True,1000.212702171877,2000.0,0.0,0.0,,,0
15,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutCX_mem-p5.btor2,missing,False,True,1000.2202168293297,2000.0,missing,False,True,1000.1593394782394,2000.0,missing,False,True,1000.2218438545242,2000.0,0.0,0.0,,,0
16,benchmarks/wordlevel/array/2019/wolf/2019A/picorv32_mutCY_mem-p5.btor2,missing,False,True,1000.2109458222985,2000.0,missing,False,True,1000.3285899860784,2000.0,missing,False,True,1000.43073533196,2000.0,0.0,0.0,,,0
17,benchmarks/wordlevel/array/2019/wolf/2019C/dblclockfft_butterfly_ck3_r1-p105.btor2,unknown,False,False,23.10416834242642,2000.0,unknown,False,False,828.8081126986071,2000.0,unknown,False,False,638.7851051604375,2000.0,0.0,0.0,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery,0
18,benchmarks/wordlevel/array/2019/wolf/2019C/dblclockfft_butterfly_ck3_r1-p44.btor2,unknown,False,False,8.881952594034374,2000.0,missing,False,True,1000.1844415729865,2000.0,missing,False,True,1000.151153861545,2000.0,0.0,0.0,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery,lean_core;cex_diverse;recovery;cex_diverse;lean_core;cex_diverse;recovery,0
19,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p105.btor2,unsat,True,False,351.6641521314159,351.6641521314159,unsat,True,False,128.74693750217557,128.74693750217557,unsat,True,False,123.36394352465868,123.36394352465868,228.30020860675722,5.38299397751689,,,0
20,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p106.btor2,unsat,True,False,378.74876809865236,378.74876809865236,unsat,True,False,162.14899802580476,162.14899802580476,unsat,True,False,153.48970657773316,153.48970657773316,225.2590615209192,8.659291448071599,,,0
21,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p181.btor2,unsat,True,False,2.6871265145018697,2.6871265145018697,unsat,True,False,2.5605939077213407,2.5605939077213407,unsat,True,False,3.7853633295744658,3.7853633295744658,-1.098236815072596,-1.224769421853125,,,0
22,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p208.btor2,missing,False,True,1000.1491547664627,2000.0,missing,False,True,1000.1130703873932,2000.0,missing,False,True,1000.1337799206376,2000.0,0.0,0.0,,,0
23,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p231.btor2,missing,False,True,1000.1723187202588,2000.0,missing,False,True,1000.1337220137939,2000.0,missing,False,True,1000.184578330256,2000.0,0.0,0.0,,,0
24,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p238.btor2,unsat,True,False,1.5110695697367191,1.5110695697367191,unsat,True,False,1.5769098391756415,1.5769098391756415,unsat,True,False,2.411872396245599,2.411872396245599,-0.9008028265088797,-0.8349625570699573,,,0
25,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p250.btor2,missing,False,True,1000.1304411878809,2000.0,missing,False,True,1000.1140503557399,2000.0,missing,False,True,1000.1327387420461,2000.0,0.0,0.0,,,0
26,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p260.btor2,missing,False,True,1000.1825930727646,2000.0,missing,False,True,1000.1301167421043,2000.0,missing,False,True,1000.1714150365442,2000.0,0.0,0.0,,,0
27,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p274.btor2,unsat,True,False,20.785388226620853,20.785388226620853,unsat,True,False,2.9185647713020444,2.9185647713020444,unsat,True,False,3.452573643065989,3.452573643065989,17.332814583554864,-0.5340088717639446,,,0
28,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p277.btor2,missing,False,True,1000.1816872414201,2000.0,missing,False,True,1000.1353066936135,2000.0,missing,False,True,1000.1273878356442,2000.0,0.0,0.0,,,0
29,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p295.btor2,unsat,True,False,2.950561575591564,2.950561575591564,unsat,True,False,3.4852226255461574,3.4852226255461574,unsat,True,False,4.80505396053195,4.80505396053195,-1.8544923849403858,-1.3198313349857926,,,0
30,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p317.btor2,unsat,True,False,3.053483380936086,3.053483380936086,unsat,True,False,3.925654672086239,3.925654672086239,unsat,True,False,3.9182055182754993,3.9182055182754993,-0.8647221373394132,0.007449153810739517,,,0
31,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p322.btor2,missing,False,True,1000.1592631936073,2000.0,missing,False,True,1000.121620638296,2000.0,missing,False,True,1000.1282534888014,2000.0,0.0,0.0,,,0
32,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p343.btor2,missing,False,True,1000.1798921367154,2000.0,missing,False,True,1000.1205495819449,2000.0,missing,False,True,1000.1295002251863,2000.0,0.0,0.0,,,0
33,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p346.btor2,missing,False,True,1000.1506469249725,2000.0,missing,False,True,1000.1237563705072,2000.0,missing,False,True,1000.1431254297495,2000.0,0.0,0.0,,,0
34,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p359.btor2,missing,False,True,1000.160543252714,2000.0,missing,False,True,1000.1140118939802,2000.0,missing,False,True,1000.1143171070144,2000.0,0.0,0.0,,,0
35,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p371.btor2,missing,False,True,1000.2023140247911,2000.0,missing,False,True,1000.1289368877187,2000.0,missing,False,True,1000.1220026481897,2000.0,0.0,0.0,,,0
36,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p428.btor2,missing,False,True,1000.1655787024647,2000.0,missing,False,True,1000.1135950256139,2000.0,missing,False,True,1000.1127862101421,2000.0,0.0,0.0,,,0
37,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p459.btor2,missing,False,True,1000.1635064380243,2000.0,missing,False,True,1000.1248134961352,2000.0,missing,False,True,1000.1129192505032,2000.0,0.0,0.0,,,0
38,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p462.btor2,unsat,True,False,2.117926200851798,2.117926200851798,unsat,True,False,2.3871691673994064,2.3871691673994064,unsat,True,False,4.167488780803978,4.167488780803978,-2.0495625799521804,-1.780319613404572,,,0
39,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p478.btor2,missing,False,True,1000.1724984319881,2000.0,missing,False,True,1000.1359723825008,2000.0,missing,False,True,1000.1119934078306,2000.0,0.0,0.0,,,0
40,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p532.btor2,unsat,True,False,2.5151619566604495,2.5151619566604495,unsat,True,False,2.4719995697960258,2.4719995697960258,unsat,True,False,4.295816591009498,4.295816591009498,-1.7806546343490481,-1.823817021213472,,,0
41,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p554.btor2,missing,False,True,1000.1632518600672,2000.0,missing,False,True,1000.1342717977241,2000.0,missing,False,True,1000.1216618716717,2000.0,0.0,0.0,,,0
42,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p558.btor2,missing,False,True,1000.1978154899552,2000.0,missing,False,True,1000.1249680640176,2000.0,missing,False,True,1000.1413757940754,2000.0,0.0,0.0,,,0
43,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p563.btor2,unsat,True,False,439.8975753663108,439.8975753663108,unsat,True,False,189.87055650912225,189.87055650912225,unsat,True,False,338.2672232063487,338.2672232063487,101.63035215996206,-148.39666669722646,,,0
44,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p570.btor2,missing,False,True,1000.1471372265369,2000.0,missing,False,True,1000.1441041817889,2000.0,missing,False,True,1000.1238510617986,2000.0,0.0,0.0,,,0
45,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p581.btor2,missing,False,True,1000.1444189026952,2000.0,missing,False,True,1000.1108000539243,2000.0,missing,False,True,1000.1131616067141,2000.0,0.0,0.0,,,0
46,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_dcache-p591.btor2,missing,False,True,1000.1472228495404,2000.0,missing,False,True,1000.1226577693596,2000.0,missing,False,True,1000.135801544413,2000.0,0.0,0.0,,,0
47,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p133.btor2,missing,False,True,1000.163739184849,2000.0,missing,False,True,1000.1370185967535,2000.0,missing,False,True,1000.1360563784838,2000.0,0.0,0.0,,,0
48,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p160.btor2,missing,False,True,1000.1626790920272,2000.0,missing,False,True,1000.1413624947891,2000.0,missing,False,True,1000.1120548630133,2000.0,0.0,0.0,,,0
49,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p195.btor2,unsat,True,False,91.96252505853772,91.96252505853772,unsat,True,False,110.19818216469139,110.19818216469139,unsat,True,False,179.23398819658905,179.23398819658905,-87.27146313805133,-69.03580603189766,,,0
50,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p240.btor2,missing,False,True,1000.128066082485,2000.0,missing,False,True,1000.1229865206406,2000.0,missing,False,True,1000.1115004317835,2000.0,0.0,0.0,,,0
51,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p241.btor2,missing,False,True,1000.160512842238,2000.0,missing,False,True,1000.1363166049123,2000.0,missing,False,True,1000.1319888234138,2000.0,0.0,0.0,,,0
52,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p284.btor2,missing,False,True,1000.1821817299351,2000.0,missing,False,True,1000.1336844908074,2000.0,missing,False,True,1000.1378529844806,2000.0,0.0,0.0,lean_core,lean_core,0
53,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p310.btor2,unsat,True,False,53.34684875700623,53.34684875700623,unsat,True,False,100.19425300322473,100.19425300322473,unsat,True,False,163.8622022708878,163.8622022708878,-110.51535351388156,-63.66794926766306,,,0
54,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p311.btor2,missing,False,True,1000.1566262468696,2000.0,missing,False,True,1000.1298012742773,2000.0,missing,False,True,1000.1277576675639,2000.0,0.0,0.0,,,0
55,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p358.btor2,unsat,True,False,1.034173497930169,1.034173497930169,unsat,True,False,1.734264500439167,1.734264500439167,unsat,True,False,2.730879177339375,2.730879177339375,-1.696705679409206,-0.996614676900208,,,0
56,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p366.btor2,unsat,True,False,1.035405207425356,1.035405207425356,unsat,True,False,1.6725806528702378,1.6725806528702378,unsat,True,False,2.3292050855234265,2.3292050855234265,-1.2937998780980706,-0.6566244326531887,,,0
57,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p395.btor2,unsat,True,False,34.84232354070991,34.84232354070991,unsat,True,False,31.955236805602908,31.955236805602908,unsat,True,False,46.68791860714555,46.68791860714555,-11.845595066435635,-14.73268180154264,,,0
58,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p421.btor2,missing,False,True,1000.1707336800173,2000.0,missing,False,True,1000.1409266022965,2000.0,missing,False,True,1000.1494645997882,2000.0,0.0,0.0,,,0
59,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p43.btor2,unsat,True,False,0.7972144233062863,0.7972144233062863,unsat,True,False,1.2162040565162897,1.2162040565162897,unsat,True,False,1.729468835517764,1.729468835517764,-0.9322544122114778,-0.5132647790014744,,,0
60,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p458.btor2,unsat,True,False,11.435957831330597,11.435957831330597,unsat,True,False,1.908036295324564,1.908036295324564,unsat,True,False,1.6209995541721582,1.6209995541721582,9.81495827715844,0.28703674115240574,,,0
61,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p485.btor2,unsat,True,False,0.8603394888341427,0.8603394888341427,unsat,True,False,1.6845424007624388,1.6845424007624388,unsat,True,False,8.476316321641207,8.476316321641207,-7.615976832807064,-6.791773920878768,,,0
62,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p493.btor2,missing,False,True,1000.1665987446904,2000.0,missing,False,True,1000.1279054190964,2000.0,missing,False,True,1000.1363607551903,2000.0,0.0,0.0,lean_core,lean_core,0
63,benchmarks/wordlevel/array/2019/wolf/2019C/zipcpu_zipcpu_piped-p496.btor2,missing,False,True,1000.1645991895348,2000.0,missing,False,True,1000.1410754648969,2000.0,missing,False,True,1000.318313122727,2000.0,0.0,0.0,,,0
64,benchmarks/wordlevel/array/2020/mann/array_lt200.btor2,unknown,False,False,0.23326194193214178,2000.0,unsat,True,False,0.9303475739434361,0.9303475739434361,unsat,True,False,0.7432995680719614,0.7432995680719614,1999.256700431928,0.18704800587147474,lean_core,lean_core,0
65,benchmarks/wordlevel/array/2020/mann/array_swap.btor2,missing,False,True,1000.8165327971801,2000.0,missing,False,True,1000.4402638329193,2000.0,missing,False,True,1000.6844355519861,2000.0,0.0,0.0,,,0
66,benchmarks/wordlevel/array/2020/mann/deep_overflow_bug.btor2,missing,False,True,1000.5152376946062,2000.0,missing,False,True,1000.5663435533643,2000.0,missing,False,True,1000.8999540545046,2000.0,0.0,0.0,,,0
67,benchmarks/wordlevel/array/2020/mann/easy_zero_array.btor2,missing,False,True,1000.9063177201897,2000.0,missing,False,True,1000.8626050418243,2000.0,missing,False,True,1001.2100717285648,2000.0,0.0,0.0,,,0
68,benchmarks/wordlevel/array/2020/mann/simple-stack-pred1.btor2,missing,False,True,1001.1845816923305,2000.0,missing,False,True,1000.6254643285647,2000.0,missing,False,True,1000.7238556332886,2000.0,0.0,0.0,,,0
69,benchmarks/wordlevel/array/2020/mann/zero_array.btor2,missing,False,True,1000.5494921840727,2000.0,missing,False,True,1000.6497334931046,2000.0,missing,False,True,1000.8547983346507,2000.0,0.0,0.0,,,0
70,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_1939.btor2,missing,False,True,1000.1733321202919,2000.0,missing,False,True,1000.1474694041535,2000.0,missing,False,True,1000.1667782114819,2000.0,0.0,0.0,,,0
71,benchmarks/wordlevel/array/2024/hkust/branch_coverage/array/rocket_2021.btor2,missing,False,True,1000.1527798427269,2000.0,missing,False,True,1000.1344054387882,2000.0,missing,False,True,1000.1821751138195,2000.0,0.0,0.0,,,0
